t,all,a,b,c,d,֤e,f,g,h,i
1-7-2019,11,0,0,0,0,0,0,0,0,0
2-7-2019,3,0,0,0,0,0,0,0,0,0
3-7-2019,2,0,0,0,0,0,0,0,0,0
4-7-2019,9,0,0,0,0,0,0,0,0,0
5-7-2019,6,0,0,0,0,0,0,0,0,0
6-7-2019,0,0,0,0,0,0,0,0,0,0
7-7-2019,0,0,0,0,0,0,0,0,0,0
8-7-2019,4,0,0,0,0,0,0,0,0,0
9-7-2019,3,0,0,0,0,0,0,0,0,0
10-7-2019,2,0,0,0,0,0,0,0,0,0
11-7-2019,1,0,0,0,0,0,0,0,0,0
12-7-2019,6,0,0,0,0,0,0,0,0,0
13-7-2019,0,0,0,0,0,0,0,0,0,0
14-7-2019,0,0,0,0,0,0,0,0,0,0
15-7-2019,1,0,0,0,0,0,0,0,0,0
16-7-2019,1,0,0,0,0,0,0,0,0,0
17-7-2019,3,0,0,0,0,0,0,0,0,0
18-7-2019,2,0,0,0,0,0,0,0,0,0
19-7-2019,1,0,0,0,0,0,0,0,0,0
20-7-2019,0,0,0,0,0,0,0,0,0,0
21-7-2019,0,0,0,0,0,0,0,0,0,0
22-7-2019,1,0,1,0,0,0,0,0,0,0
23-7-2019,2,0,0,1,1,0,0,0,0,0
24-7-2019,5,0,0,0,5,0,0,0,0,0
25-7-2019,6,0,0,2,4,0,0,0,0,0
26-7-2019,8,0,0,1,6,0,1,0,0,0
27-7-2019,0,0,0,0,0,0,0,0,0,0
28-7-2019,0,0,0,0,0,0,0,0,0,0
29-7-2019,6,0,0,0,6,0,0,0,0,0
30-7-2019,9,0,0,3,6,0,0,0,0,0
31-7-2019,4,0,0,0,4,0,0,0,0,0
1-8-2019,3,0,0,0,3,0,0,0,0,0
2-8-2019,6,0,0,0,6,0,0,0,0,0
3-8-2019,0,0,0,0,0,0,0,0,0,0
4-8-2019,0,0,0,0,0,0,0,0,0,0
5-8-2019,13,0,0,0,12,0,1,0,0,0
6-8-2019,7,0,0,2,5,0,0,0,0,0
7-8-2019,4,0,0,2,2,0,0,0,0,0
8-8-2019,0,0,0,0,0,0,0,0,0,0
9-8-2019,6,0,0,0,4,0,1,0,1,0
10-8-2019,0,0,0,0,0,0,0,0,0,0
11-8-2019,0,0,0,0,0,0,0,0,0,0
12-8-2019,11,0,2,2,7,0,0,0,0,0
13-8-2019,37,0,26,0,10,0,1,0,0,0
14-8-2019,25,0,16,0,8,0,1,0,0,0
15-8-2019,41,0,21,0,18,0,2,0,0,0
16-8-2019,36,0,19,0,17,0,0,0,0,0
17-8-2019,0,0,0,0,0,0,0,0,0,0
18-8-2019,0,0,0,0,0,0,0,0,0,0
19-8-2019,27,0,16,0,8,0,3,0,0,0
20-8-2019,35,0,17,1,12,0,5,0,0,0
21-8-2019,28,0,1,0,6,0,21,0,0,0
22-8-2019,43,0,7,1,15,0,20,0,0,0
23-8-2019,46,0,8,4,20,0,14,0,0,0
24-8-2019,0,0,0,0,0,0,0,0,0,0
25-8-2019,0,0,0,0,0,0,0,0,0,0
26-8-2019,61,0,8,0,30,0,23,0,0,0
27-8-2019,90,0,9,6,36,0,38,0,1,0
28-8-2019,90,0,3,1,55,0,31,0,0,0
29-8-2019,81,0,11,4,34,0,32,0,0,0
30-8-2019,71,0,16,0,31,0,24,0,0,0
31-8-2019,0,0,0,0,0,0,0,0,0,0
1-9-2019,0,0,0,0,0,0,0,0,0,0
2-9-2019,39,0,8,0,15,0,16,0,0,0
3-9-2019,63,0,10,0,29,0,24,0,0,0
4-9-2019,57,0,5,0,28,0,24,0,0,0
5-9-2019,76,0,7,0,39,0,30,0,0,0
6-9-2019,72,0,6,0,34,0,32,0,0,0
7-9-2019,0,0,0,0,0,0,0,0,0,0
8-9-2019,0,0,0,0,0,0,0,0,0,0
9-9-2019,72,1,9,0,33,0,29,0,0,0
10-9-2019,74,0,6,0,34,0,30,4,0,0
11-9-2019,73,0,9,1,38,1,24,0,0,0
12-9-2019,83,0,5,0,48,0,29,1,0,0
13-9-2019,0,0,0,0,0,0,0,0,0,0
14-9-2019,0,0,0,0,0,0,0,0,0,0
15-9-2019,0,0,0,0,0,0,0,0,0,0
16-9-2019,51,0,6,0,30,0,15,0,0,0
17-9-2019,76,0,5,4,33,0,34,0,0,0
18-9-2019,86,0,17,0,44,0,24,0,1,0
19-9-2019,78,0,10,0,35,0,32,1,0,0
20-9-2019,87,0,13,0,45,0,29,0,0,0
21-9-2019,0,0,0,0,0,0,0,0,0,0
22-9-2019,0,0,0,0,0,0,0,0,0,0
23-9-2019,80,0,12,0,40,1,27,0,0,0
24-9-2019,101,0,17,1,59,0,23,1,0,0
25-9-2019,86,1,18,0,45,1,20,1,0,0
26-9-2019,97,0,8,0,59,0,29,1,0,0
27-9-2019,96,0,13,0,57,0,25,0,1,0
28-9-2019,0,0,0,0,0,0,0,0,0,0
29-9-2019,66,1,17,0,33,0,15,0,0,0
30-9-2019,50,0,7,0,22,0,21,0,0,0
1-10-2019,0,0,0,0,0,0,0,0,0,0
2-10-2019,0,0,0,0,0,0,0,0,0,0
3-10-2019,0,0,0,0,0,0,0,0,0,0
4-10-2019,0,0,0,0,0,0,0,0,0,0
5-10-2019,0,0,0,0,0,0,0,0,0,0
6-10-2019,0,0,0,0,0,0,0,0,0,0
7-10-2019,0,0,0,0,0,0,0,0,0,0
8-10-2019,48,0,2,0,40,0,6,0,0,0
9-10-2019,58,0,9,2,40,0,6,1,0,0
10-10-2019,92,0,18,0,55,1,18,0,0,0
11-10-2019,72,0,14,3,44,0,11,0,0,0
12-10-2019,46,0,10,0,30,0,6,0,0,0
13-10-2019,0,0,0,0,0,0,0,0,0,0
14-10-2019,63,0,4,1,45,0,13,0,0,0
15-10-2019,58,0,8,0,42,0,8,0,0,0
16-10-2019,92,0,13,5,62,0,12,0,0,0
17-10-2019,62,0,19,0,30,0,13,0,0,0
18-10-2019,55,0,10,0,35,0,10,0,0,0
19-10-2019,0,0,0,0,0,0,0,0,0,0
20-10-2019,0,0,0,0,0,0,0,0,0,0
21-10-2019,64,0,9,0,47,0,8,0,0,0
22-10-2019,96,0,13,0,64,0,18,0,1,0
23-10-2019,96,0,16,0,67,0,13,0,0,0
24-10-2019,101,0,18,3,69,0,11,0,0,0
25-10-2019,32,0,0,0,25,0,7,0,0,0
26-10-2019,0,0,0,0,0,0,0,0,0,0
27-10-2019,0,0,0,0,0,0,0,0,0,0
28-10-2019,42,0,3,0,28,0,11,0,0,0
29-10-2019,26,0,3,0,8,0,15,0,0,0
30-10-2019,43,0,6,0,25,0,11,0,1,0
31-10-2019,79,0,9,0,60,0,8,0,2,0
1-11-2019,81,0,23,0,36,0,22,0,0,0
2-11-2019,0,0,0,0,0,0,0,0,0,0
3-11-2019,0,0,0,0,0,0,0,0,0,0
4-11-2019,48,0,10,0,30,0,8,0,0,0
5-11-2019,68,0,7,0,46,0,15,0,0,0
6-11-2019,54,0,10,0,33,1,10,0,0,0
7-11-2019,49,0,9,0,30,0,10,0,0,0
8-11-2019,59,0,16,0,30,0,13,0,0,0
9-11-2019,0,0,0,0,0,0,0,0,0,0
10-11-2019,0,0,0,0,0,0,0,0,0,0
11-11-2019,53,0,12,0,26,0,15,0,0,0
12-11-2019,79,0,20,0,47,0,12,0,0,0
13-11-2019,67,0,16,0,38,1,12,0,0,0
14-11-2019,56,0,14,0,29,0,13,0,0,0
15-11-2019,61,0,13,0,36,0,12,0,0,0
16-11-2019,0,0,0,0,0,0,0,0,0,0
17-11-2019,0,0,0,0,0,0,0,0,0,0
18-11-2019,40,0,7,0,17,0,16,0,0,0
19-11-2019,58,0,14,0,33,0,10,1,0,0
20-11-2019,74,0,24,0,34,0,16,0,0,0
21-11-2019,55,0,11,0,22,0,22,0,0,0
22-11-2019,55,0,12,0,31,0,12,0,0,0
23-11-2019,0,0,0,0,0,0,0,0,0,0
24-11-2019,0,0,0,0,0,0,0,0,0,0
25-11-2019,49,0,9,0,31,0,9,0,0,0
26-11-2019,73,0,17,0,45,0,11,0,0,0
27-11-2019,60,0,24,0,29,0,7,0,0,0
28-11-2019,70,0,40,0,25,0,5,0,0,0
29-11-2019,56,0,38,0,14,0,4,0,0,0
30-11-2019,0,0,0,0,0,0,0,0,0,0
1-12-2019,0,0,0,0,0,0,0,0,0,0
2-12-2019,62,0,33,0,26,0,3,0,0,0
3-12-2019,48,0,27,0,12,1,8,0,0,0
4-12-2019,50,0,39,0,8,0,3,0,0,0
5-12-2019,41,0,28,0,10,0,3,0,0,0
6-12-2019,63,0,41,0,20,0,2,0,0,0
7-12-2019,0,0,0,0,0,0,0,0,0,0
8-12-2019,0,0,0,0,0,0,0,0,0,0
9-12-2019,39,0,28,0,6,0,5,0,0,0
10-12-2019,56,0,28,0,19,0,9,0,0,0
11-12-2019,43,1,13,0,19,0,10,0,0,0
12-12-2019,48,0,26,0,18,0,4,0,0,0
13-12-2019,40,0,21,0,16,0,3,0,0,0
14-12-2019,0,0,0,0,0,0,0,0,0,0
15-12-2019,0,0,0,0,0,0,0,0,0,0
16-12-2019,38,0,19,2,14,0,3,0,0,0
17-12-2019,54,0,31,5,11,0,7,0,0,0
18-12-2019,63,0,28,10,17,0,7,0,1,0
19-12-2019,76,0,33,7,30,0,6,0,0,0
20-12-2019,71,0,36,7,22,0,6,0,0,0
21-12-2019,0,0,0,0,0,0,0,0,0,0
22-12-2019,0,0,0,0,0,0,0,0,0,0
23-12-2019,52,0,23,0,22,0,7,0,0,0
24-12-2019,68,0,31,0,30,0,7,0,0,0
25-12-2019,96,0,46,0,37,0,13,0,0,0
26-12-2019,69,0,24,0,34,0,11,0,0,0
27-12-2019,65,1,34,0,22,0,7,1,0,0
28-12-2019,0,0,0,0,0,0,0,0,0,0
29-12-2019,0,0,0,0,0,0,0,0,0,0
30-12-2019,27,1,18,0,8,0,0,0,0,0
31-12-2019,30,0,16,0,8,0,6,0,0,0
1-1-2020,0,0,0,0,0,0,0,0,0,0
2-1-2020,49,0,27,0,5,0,17,0,0,0
3-1-2020,55,0,28,0,16,0,11,0,0,0
4-1-2020,0,0,0,0,0,0,0,0,0,0
5-1-2020,0,0,0,0,0,0,0,0,0,0
6-1-2020,69,2,37,0,22,0,8,0,0,0
7-1-2020,49,0,25,0,14,0,10,0,0,0
8-1-2020,82,2,48,0,24,0,8,0,0,0
9-1-2020,69,1,45,0,15,0,8,0,0,0
10-1-2020,49,0,23,0,15,0,11,0,0,0
11-1-2020,0,0,0,0,0,0,0,0,0,0
12-1-2020,0,0,0,0,0,0,0,0,0,0
13-1-2020,76,3,42,0,22,0,9,0,0,0
14-1-2020,47,1,26,0,12,0,8,0,0,0
15-1-2020,49,2,30,0,10,0,7,0,0,0
16-1-2020,58,0,34,0,19,0,5,0,0,0
17-1-2020,58,1,37,0,13,0,7,0,0,0
18-1-2020,0,0,0,0,0,0,0,0,0,0
19-1-2020,35,1,20,0,9,0,5,0,0,0
20-1-2020,38,1,20,0,9,0,8,0,0,0
21-1-2020,15,1,9,0,2,0,3,0,0,0
22-1-2020,4,0,2,0,2,0,0,0,0,0
23-1-2020,3,0,2,0,0,0,1,0,0,0
24-1-2020,0,0,0,0,0,0,0,0,0,0
25-1-2020,0,0,0,0,0,0,0,0,0,0
26-1-2020,0,0,0,0,0,0,0,0,0,0
27-1-2020,0,0,0,0,0,0,0,0,0,0
28-1-2020,0,0,0,0,0,0,0,0,0,0
29-1-2020,0,0,0,0,0,0,0,0,0,0
30-1-2020,0,0,0,0,0,0,0,0,0,0
31-1-2020,0,0,0,0,0,0,0,0,0,0
1-2-2020,0,0,0,0,0,0,0,0,0,0
2-2-2020,0,0,0,0,0,0,0,0,0,0
3-2-2020,0,0,0,0,0,0,0,0,0,0
4-2-2020,0,0,0,0,0,0,0,0,0,0
5-2-2020,0,0,0,0,0,0,0,0,0,0
6-2-2020,0,0,0,0,0,0,0,0,0,0
7-2-2020,0,0,0,0,0,0,0,0,0,0
8-2-2020,0,0,0,0,0,0,0,0,0,0
9-2-2020,0,0,0,0,0,0,0,0,0,0
10-2-2020,2,0,0,0,2,0,0,0,0,0
11-2-2020,1,0,0,0,0,0,1,0,0,0
12-2-2020,0,0,0,0,0,0,0,0,0,0
13-2-2020,0,0,0,0,0,0,0,0,0,0
14-2-2020,0,0,0,0,0,0,0,0,0,0
15-2-2020,0,0,0,0,0,0,0,0,0,0
16-2-2020,0,0,0,0,0,0,0,0,0,0
17-2-2020,3,0,0,0,0,0,3,0,0,0
18-2-2020,2,0,0,0,1,0,1,0,0,0
19-2-2020,1,0,0,0,0,0,1,0,0,0
20-2-2020,2,0,0,0,0,0,2,0,0,0
21-2-2020,6,0,0,0,1,0,5,0,0,0
22-2-2020,0,0,0,0,0,0,0,0,0,0
23-2-2020,0,0,0,0,0,0,0,0,0,0
24-2-2020,10,0,2,0,5,0,3,0,0,0
25-2-2020,22,0,2,0,5,0,15,0,0,0
26-2-2020,13,0,1,0,3,0,9,0,0,0
27-2-2020,10,0,5,0,1,0,4,0,0,0
28-2-2020,23,0,7,0,1,0,15,0,0,0
29-2-2020,0,0,0,0,0,0,0,0,0,0
1-3-2020,0,0,0,0,0,0,0,0,0,0
2-3-2020,20,0,4,0,4,0,12,0,0,0
3-3-2020,16,0,6,0,0,0,10,0,0,0
4-3-2020,13,0,4,0,1,0,8,0,0,0
5-3-2020,21,0,9,0,0,0,12,0,0,0
6-3-2020,26,0,10,0,3,0,13,0,0,0
7-3-2020,0,0,0,0,0,0,0,0,0,0
8-3-2020,0,0,0,0,0,0,0,0,0,0
9-3-2020,17,0,10,0,0,0,7,0,0,0
10-3-2020,22,0,13,0,1,0,8,0,0,0
11-3-2020,12,0,5,0,1,0,6,0,0,0
12-3-2020,23,0,11,0,4,0,8,0,0,0
13-3-2020,20,0,10,0,6,0,4,0,0,0
14-3-2020,0,0,0,0,0,0,0,0,0,0
15-3-2020,0,0,0,0,0,0,0,0,0,0
16-3-2020,37,0,15,0,8,0,14,0,0,0
17-3-2020,37,0,13,0,3,0,21,0,0,0
18-3-2020,31,0,8,0,6,0,17,0,0,0
19-3-2020,24,0,4,0,5,0,15,0,0,0
20-3-2020,54,0,12,0,16,0,26,0,0,0
21-3-2020,0,0,0,0,0,0,0,0,0,0
22-3-2020,0,0,0,0,0,0,0,0,0,0
23-3-2020,59,0,6,0,16,0,37,0,0,0
24-3-2020,58,0,11,0,16,0,31,0,0,0
25-3-2020,56,0,9,0,22,0,25,0,0,0
26-3-2020,67,0,19,0,18,0,30,0,0,0
27-3-2020,65,0,20,0,16,0,29,0,0,0
28-3-2020,0,0,0,0,0,0,0,0,0,0
29-3-2020,0,0,0,0,0,0,0,0,0,0
30-3-2020,48,0,13,0,11,0,24,0,0,0
31-3-2020,70,0,20,0,22,0,28,0,0,0
1-4-2020,62,0,27,0,9,0,26,0,0,0
2-4-2020,48,0,16,0,12,0,20,0,0,0
3-4-2020,38,0,16,0,5,0,17,0,0,0
4-4-2020,0,0,0,0,0,0,0,0,0,0
5-4-2020,0,0,0,0,0,0,0,0,0,0
6-4-2020,0,0,0,0,0,0,0,0,0,0
7-4-2020,43,0,13,0,6,0,24,0,0,0
8-4-2020,54,1,19,0,13,0,21,0,0,0
9-4-2020,50,0,18,0,11,0,21,0,0,0
10-4-2020,58,0,22,0,17,0,19,0,0,0
11-4-2020,0,0,0,0,0,0,0,0,0,0
12-4-2020,0,0,0,0,0,0,0,0,0,0
13-4-2020,71,0,22,0,32,0,17,0,0,0
14-4-2020,77,0,38,0,19,0,20,0,0,0
15-4-2020,65,3,20,0,32,0,10,0,0,0
16-4-2020,41,0,15,0,16,0,10,0,0,0
17-4-2020,38,0,24,0,9,0,5,0,0,0
18-4-2020,0,0,0,0,0,0,0,0,0,0
19-4-2020,0,0,0,0,0,0,0,0,0,0
20-4-2020,51,0,22,0,15,0,14,0,0,0
21-4-2020,50,0,23,0,9,0,18,0,0,0
22-4-2020,42,0,22,0,11,0,9,0,0,0
23-4-2020,53,2,28,0,18,0,5,0,0,0
24-4-2020,50,3,24,0,12,0,11,0,0,0
25-4-2020,0,0,0,0,0,0,0,0,0,0
26-4-2020,30,0,18,0,5,0,7,0,0,0
27-4-2020,46,3,23,0,18,0,2,0,0,0
28-4-2020,61,3,35,0,12,0,11,0,0,0
29-4-2020,36,1,16,0,9,0,10,0,0,0
30-4-2020,58,1,23,0,10,0,24,0,0,0
1-5-2020,0,0,0,0,0,0,0,0,0,0
2-5-2020,0,0,0,0,0,0,0,0,0,0
3-5-2020,0,0,0,0,0,0,0,0,0,0
4-5-2020,2,0,0,0,0,0,0,0,0,2
5-5-2020,0,0,0,0,0,0,0,0,0,0
6-5-2020,4,0,1,0,0,0,0,0,0,3
7-5-2020,6,0,2,0,2,0,0,0,0,2
8-5-2020,13,0,3,0,6,0,1,0,0,3
9-5-2020,6,0,4,0,2,0,0,0,0,0
10-5-2020,0,0,0,0,0,0,0,0,0,0
11-5-2020,9,0,3,0,6,0,0,0,0,0
12-5-2020,9,0,3,0,6,0,0,0,0,0
13-5-2020,13,1,7,0,4,0,1,0,0,0
14-5-2020,18,0,7,0,9,0,0,0,0,2
15-5-2020,11,0,3,0,7,0,0,0,0,0
16-5-2020,0,0,0,0,0,0,0,0,0,0
17-5-2020,0,0,0,0,0,0,0,0,0,0
